U [V],X [V],Y [V]
0.52,1.0599,-0.549
0.5,1.0167,-0.524
0.49,0.995,-0.511
0.48,0.973,-0.498
0.47,0.951,-0.486
0.46,0.93,-0.474
0.45,0.909,-0.462
0.44,0.888,-0.45
0.43,0.876,-0.438
0.42,0.85,-0.438
0.41,0.83,-0.417
0.4,0.808,-0.405
0.39,0.788,-0.393
0.38,0.767,-0.381
0.37,0.745,-0.37
0.36,0.724,-0.358
0.35,0.703,-0.346
0.34,0.681,-0.334
0.33,0.659,-0.322
0.32,0.638,-0.311
0.31,0.617,-0.3
0.3,0.596,-0.289
0.29,0.575,-0.278
0.28,0.554,-0.267
0.27,0.533,-0.256
0.26,0.515,-0.246
0.25,0.492,-0.235
0.24,0.472,-0.225
0.23,0.451,-0.214
0.22,0.43,-0.204
0.21,0.41,-0.194
0.2,0.39,-0.183
0.19,0.369,-0.174
0.18,0.35,-0.164
0.17,0.331,-0.155
0.16,0.319,-0.145
0.15,0.291,-0.136
0.14,0.272,-0.127
0.13,0.252,-0.117
0.12,0.233,-0.108
0.11,0.213,-0.099
0.1,0.194,0.09
0.09,0.175,-0.081
0.08,0.155,-0.072
0.07,0.136,-0.063
0.06,0.117,-0.054
0.05,0.097,-0.045
0.04,0.078,-0.036
0.03,0.058,-0.027
0.02,0.039,-0.018
0.01,0.019,-0.009
