nu [Hz],X [V],Y [V]
1,-0.039,0.298
1.1,-0.014,0.324
1.2,0.012,0.347
1.3,0.038,0.367
1.4,0.066,0.383
1.5,0.094,0.396
1.6,0.121,0.408
1.7,0.148,0.416
1.8,0.174,0.423
1.9,0.2,0.428
2,0.226,0.432
2.25,0.287,0.433
2.5,0.341,0.428
2.75,0.391,0.416
3,0.436,0.401
3.5,0.506,0.36
4,0.56,0.315
4.5,0.598,0.268
5,0.626,0.223
5.5,0.645,0.181
6,0.657,0.143
6.5,0.664,0.107
7,0.667,0.074
7.5,0.666,0.045
8,0.664,0.018
8.5,0.66,-0.006
9,0.654,-0.028
9.5,0.647,-0.047
10,0.64,-0.066
11,0.624,-0.097
12,0.607,-0.123
13,0.59,-0.145
14,0.573,-0.163
15,0.557,-0.179
16,0.54,-0.191
17,0.524,-0.203
18,0.509,0.212
19,0.493,-0.22
20,0.479,-0.227
22,0.454,-0.238
23,0.442,-0.242
24,0.43,-0.246
25,0.42,-0.246
26,0.408,-0.252
27,0.398,-0.254
28,0.388,-0.256
29,0.378,-0.258
30,0.368,-0.259
31,0.36,-0.26
32,0.352,-0.261
33,0.343,-0.262
34,0.335,-0.262
35,0.328,-0.262
36,0.32,-0.262
37,0.313,-0.263
38,0.306,-0.263
39,0.3,-0.262
40,0.293,-0.262
41,0.287,-0.262
42,0.282,-0.262
43,0.275,-0.261
44,0.27,-0.261
45,0.264,-0.259
46,0.259,-0.259
47,0.254,-0.258
48,0.249,-0.257
49,0.244,-0.257
50,0.24,-0.254
52,0.23,-0.254
54,0.221,-0.252
56,0.213,-0.249
58,0.205,-0.247
60,0.197,-0.245
65,0.18,-0.239
70,0.165,-0.233
75,0.152,-0.227
80,0.14,-0.221
85,0.128,-0.215
90,0.119,-0.209
95,0.11,-0.203
100,0.101,-0.197
105,0.095,-0.192
110,0.088,-0.186
115,0.082,-0.182
120,0.076,-0.176
125,0.072,-0.171
130,0.067,-0.167
135,0.063,-0.163
140,0.059,-0.158
145,0.056,-0.155
150,0.051,-0.152
155,0.049,-0.147
160,0.046,-0.144
165,0.044,-0.141
170,0.041,-0.137
175,0.039,-0.134
180,0.037,-0.131
185,0.035,-0.128
190,0.033,-0.125
195,0.032,-0.122
200,0.029,-0.12
210,0.027,-0.115
220,0.024,-0.111
230,0.022,-0.106
240,0.02,-0.103
250,0.018,-0.099
260,0.017,-0.096
270,0.0154,-0.093
280,0.014,-0.089
290,0.013,-0.087
300,0.012,-0.084
320,0.1,-0.079
340,0.008,-0.074
360,0.007,-0.07
380,0.006,-0.067
400,0.005,-0.064
420,0.004,-0.06
440,0.003,-0.058
460,0.003,-0.055
480,0.0027,-0.053
500,0.0022,-0.051
550,0.0013,-0.046
600,0.0007,-0.042
650,0.0002,-0.038
700,-0.0001,-0.036
750,-0.0003,-0.033
800,-0.0005,-0.031
850,-0.0007,-0.029
900,-0.0008,-0.027
950,-0.0009,-0.024
1000,-0.001,-0.025
