I [mA]	U [mV]
248	5
250	10
254	15
257	19
260	21
262	28
263	32
264	34
265	35
266	42
267	51
269	55
270	58
271	65
272	72
273	85
274	100
275	110
276	121
277	135
278	162
279	170
280	180
281	220
282	250
283	320
284	360
285	420
286	476
287	510
288	585
289	560
290	520
291	506
292	370
293	180
294	110
295	-86
296	-270
297	-360
298	-490
299	-540
300	-570
301	-580
302	-560
303	-530
304	-490
305	-440
306	-372
307	-330
308	-280
309	-240
310	-210
311	-170
312	-144
313	-137
314	-120
315	-100
316	-80
317	-70
318	-73
319	-64
320	-53
321	-49
322	-46
323	-44
324	-38
326	-30
328	-25
330	-25
332	-18
338	-16
