START: TDC 1
STOP: TDC 1
1st stop option: Off
From: -48000000000 ps
To: 48000000000 ps
START counts: 64722
STOP counts: 64722
Time intervals: 64690
Elapsed time: 50.5 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
0	3727	1.23634e-09
46600000	3669	1.2171e-09
93200000	3462	1.14843e-09
139800000	3258	1.08076e-09
186400000	2877	9.5437e-10
233000000	2784	9.2352e-10
279600000	2707	8.97977e-10
326200000	2493	8.26988e-10
372800000	2366	7.84859e-10
419400000	2257	7.48701e-10
466000000	2160	7.16524e-10
512600000	1981	6.57145e-10
559200000	1868	6.1966e-10
605800000	1778	5.89805e-10
652400000	1668	5.53316e-10
699000000	1532	5.08201e-10
745600000	1449	4.80668e-10
792200000	1410	4.67731e-10
838800000	1336	4.43183e-10
885400000	1194	3.96078e-10
932000000	1161	3.85132e-10
978600000	1048	3.47647e-10
1025200000	958	3.17792e-10
1071800000	918	3.04523e-10
1118400000	904	2.99879e-10
1165000000	838	2.77985e-10
1211600000	795	2.63721e-10
1258200000	698	2.31543e-10
1304800000	665	2.20596e-10
1351400000	606	2.01025e-10
1398000000	608	2.01688e-10
1444600000	583	1.93395e-10
1491200000	575	1.90741e-10
1537800000	492	1.63208e-10
1584400000	475	1.57569e-10
1631000000	459	1.52261e-10
1677600000	398	1.32026e-10
1724200000	402	1.33353e-10
1770800000	320	1.06152e-10
1817400000	348	1.1544e-10
1864000000	295	9.78586e-11
1910600000	312	1.03498e-10
1957200000	297	9.8522e-11
2003800000	276	9.15558e-11
2050400000	245	8.12724e-11
2097000000	218	7.23158e-11
2143600000	223	7.39745e-11
2190200000	240	7.96138e-11
2236800000	192	6.3691e-11
2283400000	186	6.17007e-11
2330000000	167	5.53979e-11
2376600000	165	5.47345e-11
2423200000	166	5.50662e-11
2469800000	138	4.57779e-11
2516400000	131	4.34558e-11
2563000000	134	4.4451e-11
2609600000	120	3.98069e-11
2656200000	121	4.01386e-11
2702800000	96	3.18455e-11
2749400000	100	3.31724e-11
2796000000	96	3.18455e-11
2842600000	101	3.35041e-11
2889200000	86	2.85283e-11
2935800000	85	2.81965e-11
2982400000	72	2.38841e-11
3029000000	71	2.35524e-11
3075600000	61	2.02352e-11
3122200000	59	1.95717e-11
3168800000	56	1.85765e-11
3215400000	66	2.18938e-11
3262000000	61	2.02352e-11
3308600000	45	1.49276e-11
3355200000	43	1.42641e-11
3401800000	51	1.69179e-11
3448400000	38	1.26055e-11
3495000000	40	1.3269e-11
3541600000	35	1.16103e-11
3588200000	38	1.26055e-11
3634800000	40	1.3269e-11
3681400000	27	8.95655e-12
3728000000	30	9.95172e-12
3774600000	27	8.95655e-12
3821200000	34	1.12786e-11
3867800000	19	6.30276e-12
3914400000	21	6.9662e-12
3961000000	16	5.30758e-12
4007600000	23	7.62965e-12
4054200000	19	6.30276e-12
4100800000	16	5.30758e-12
4147400000	12	3.98069e-12
4194000000	11	3.64896e-12
4240600000	22	7.29793e-12
4287200000	12	3.98069e-12
4333800000	11	3.64896e-12
4380400000	12	3.98069e-12
4427000000	9	2.98552e-12
4473600000	6	1.99034e-12
4520200000	12	3.98069e-12
4566800000	13	4.31241e-12
4613400000	6	1.99034e-12
4660000000	5	1.65862e-12
4706600000	8	2.65379e-12
4753200000	7	2.32207e-12
4799800000	10	3.31724e-12
4846400000	12	3.98069e-12
4893000000	12	3.98069e-12
4939600000	6	1.99034e-12
4986200000	6	1.99034e-12
5032800000	3	9.95172e-13
5079400000	5	1.65862e-12
5126000000	3	9.95172e-13
5172600000	3	9.95172e-13
5219200000	5	1.65862e-12
5265800000	0	0
5312400000	3	9.95172e-13
5359000000	5	1.65862e-12
5405600000	1	3.31724e-13
5452200000	3	9.95172e-13
5498800000	5	1.65862e-12
5545400000	0	0
5592000000	3	9.95172e-13
5638600000	0	0
5685200000	1	3.31724e-13
5731800000	0	0
5778400000	0	0
5825000000	2	6.63448e-13
5871600000	1	3.31724e-13
5918200000	2	6.63448e-13
5964800000	3	9.95172e-13
6011400000	2	6.63448e-13
6058000000	0	0
6104600000	3	9.95172e-13
6151200000	1	3.31724e-13
6197800000	2	6.63448e-13
6244400000	0	0
6291000000	2	6.63448e-13
6337600000	1	3.31724e-13
6384200000	0	0
6430800000	1	3.31724e-13
6477400000	1	3.31724e-13
6524000000	1	3.31724e-13
6570600000	1	3.31724e-13
6617200000	1	3.31724e-13
6663800000	0	0
6710400000	0	0
6757000000	1	3.31724e-13
6803600000	0	0
6850200000	1	3.31724e-13
6896800000	0	0
6943400000	1	3.31724e-13
6990000000	0	0
7036600000	0	0
7083200000	0	0
7129800000	1	3.31724e-13
7176400000	1	3.31724e-13
7223000000	1	3.31724e-13
7269600000	0	0
7316200000	0	0
7362800000	0	0
7409400000	0	0
7456000000	0	0
7502600000	0	0
7549200000	0	0
7595800000	0	0
7642400000	1	3.31724e-13
7689000000	0	0
7735600000	0	0
7782200000	0	0
7828800000	0	0
7875400000	0	0
7922000000	0	0
7968600000	0	0
8015200000	0	0
8061800000	0	0
8108400000	1	3.31724e-13
8155000000	0	0
8201600000	0	0
8248200000	0	0
8294800000	0	0
8341400000	0	0
8388000000	0	0
8434600000	0	0
8481200000	0	0
8527800000	0	0
8574400000	0	0
8621000000	0	0
8667600000	0	0
8714200000	0	0
8760800000	0	0
8807400000	0	0
8854000000	0	0
8900600000	0	0
8947200000	0	0
8993800000	0	0
9040400000	0	0
9087000000	0	0
9133600000	0	0
9180200000	0	0
9226800000	0	0
9273400000	1	3.31724e-13
