START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48000000000 ps
To: 48000000000 ps
START counts: 2946
STOP counts: 11820
Time intervals: 23584
Elapsed time: 30.0 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-48000000000	4	3.53347e-13
-47520000000	6	5.3002e-13
-47040000000	5	4.41684e-13
-46560000000	2	1.76673e-13
-46080000000	6	5.3002e-13
-45600000000	8	7.06694e-13
-45120000000	8	7.06694e-13
-44640000000	5	4.41684e-13
-44160000000	8	7.06694e-13
-43680000000	9	7.95031e-13
-43200000000	7	6.18357e-13
-42720000000	6	5.3002e-13
-42240000000	8	7.06694e-13
-41760000000	9	7.95031e-13
-41280000000	14	1.23671e-12
-40800000000	12	1.06004e-12
-40320000000	7	6.18357e-13
-39840000000	9	7.95031e-13
-39360000000	13	1.14838e-12
-38880000000	16	1.41339e-12
-38400000000	14	1.23671e-12
-37920000000	12	1.06004e-12
-37440000000	8	7.06694e-13
-36960000000	16	1.41339e-12
-36480000000	12	1.06004e-12
-36000000000	10	8.83367e-13
-35520000000	22	1.94341e-12
-35040000000	14	1.23671e-12
-34560000000	16	1.41339e-12
-34080000000	11	9.71704e-13
-33600000000	22	1.94341e-12
-33120000000	21	1.85507e-12
-32640000000	18	1.59006e-12
-32160000000	12	1.06004e-12
-31680000000	25	2.20842e-12
-31200000000	22	1.94341e-12
-30720000000	22	1.94341e-12
-30240000000	28	2.47343e-12
-29760000000	23	2.03174e-12
-29280000000	21	1.85507e-12
-28800000000	32	2.82678e-12
-28320000000	44	3.88682e-12
-27840000000	42	3.71014e-12
-27360000000	28	2.47343e-12
-26880000000	44	3.88682e-12
-26400000000	44	3.88682e-12
-25920000000	28	2.47343e-12
-25440000000	39	3.44513e-12
-24960000000	46	4.06349e-12
-24480000000	41	3.62181e-12
-24000000000	46	4.06349e-12
-23520000000	49	4.3285e-12
-23040000000	60	5.3002e-12
-22560000000	52	4.59351e-12
-22080000000	56	4.94686e-12
-21600000000	59	5.21187e-12
-21120000000	64	5.65355e-12
-20640000000	77	6.80193e-12
-20160000000	75	6.62525e-12
-19680000000	89	7.86197e-12
-19200000000	84	7.42028e-12
-18720000000	96	8.48033e-12
-18240000000	98	8.657e-12
-17760000000	105	9.27536e-12
-17280000000	99	8.74534e-12
-16800000000	111	9.80538e-12
-16320000000	116	1.02471e-11
-15840000000	129	1.13954e-11
-15360000000	133	1.17488e-11
-14880000000	150	1.32505e-11
-14400000000	159	1.40455e-11
-13920000000	146	1.28972e-11
-13440000000	139	1.22788e-11
-12960000000	150	1.32505e-11
-12480000000	161	1.42222e-11
-12000000000	190	1.6784e-11
-11520000000	185	1.63423e-11
-11040000000	186	1.64306e-11
-10560000000	192	1.69607e-11
-10080000000	208	1.8374e-11
-9600000000	219	1.93457e-11
-9120000000	240	2.12008e-11
-8640000000	269	2.37626e-11
-8160000000	297	2.6236e-11
-7680000000	281	2.48226e-11
-7200000000	289	2.55293e-11
-6720000000	286	2.52643e-11
-6240000000	298	2.63243e-11
-5760000000	346	3.05645e-11
-5280000000	361	3.18896e-11
-4800000000	388	3.42746e-11
-4320000000	377	3.33029e-11
-3840000000	390	3.44513e-11
-3360000000	427	3.77198e-11
-2880000000	434	3.83381e-11
-2400000000	460	4.06349e-11
-1920000000	459	4.05466e-11
-1440000000	473	4.17833e-11
-960000000	532	4.69951e-11
-480000000	595	5.25604e-11
0	633	5.59171e-11
480000000	543	4.79668e-11
960000000	505	4.461e-11
1440000000	487	4.302e-11
1920000000	492	4.34617e-11
2400000000	430	3.79848e-11
2880000000	407	3.5953e-11
3360000000	397	3.50697e-11
3840000000	424	3.74548e-11
4320000000	378	3.33913e-11
4800000000	340	3.00345e-11
5280000000	341	3.01228e-11
5760000000	308	2.72077e-11
6240000000	292	2.57943e-11
6720000000	271	2.39393e-11
7200000000	254	2.24375e-11
7680000000	242	2.13775e-11
8160000000	243	2.14658e-11
8640000000	227	2.00524e-11
9120000000	198	1.74907e-11
9600000000	208	1.8374e-11
10080000000	182	1.60773e-11
10560000000	176	1.55473e-11
11040000000	211	1.8639e-11
11520000000	170	1.50172e-11
12000000000	160	1.41339e-11
12480000000	169	1.49289e-11
12960000000	179	1.58123e-11
13440000000	140	1.23671e-11
13920000000	120	1.06004e-11
14400000000	116	1.02471e-11
14880000000	126	1.11304e-11
15360000000	117	1.03354e-11
15840000000	120	1.06004e-11
16320000000	101	8.92201e-12
16800000000	105	9.27536e-12
17280000000	96	8.48033e-12
17760000000	96	8.48033e-12
18240000000	91	8.03864e-12
18720000000	100	8.83367e-12
19200000000	94	8.30365e-12
19680000000	74	6.53692e-12
20160000000	71	6.27191e-12
20640000000	64	5.65355e-12
21120000000	49	4.3285e-12
21600000000	63	5.56521e-12
22080000000	61	5.38854e-12
22560000000	58	5.12353e-12
