Filename:  D:\Backup\Documents\FMF\3. Letnik\Fizikalni Praktikum V\Gamma\BG_100_2.mca
Description:  
TimeStamp:  10/14/2021 17:46:59

Calibration Information
Label:  keV
Channel	Value
0	0
644	511
1515	1277
A	B	C
-4.356e-012	0.756934	5.67463e-005

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	2
47	9
48	23
49	15
50	18
51	18
52	15
53	14
54	16
55	12
56	19
57	14
58	11
59	20
60	18
61	20
62	16
63	18
64	27
65	30
66	25
67	28
68	16
69	35
70	28
71	40
72	40
73	25
74	32
75	39
76	31
77	37
78	30
79	34
80	34
81	40
82	34
83	43
84	38
85	40
86	42
87	40
88	40
89	38
90	48
91	46
92	56
93	52
94	44
95	38
96	51
97	49
98	52
99	42
100	38
101	55
102	49
103	50
104	50
105	47
106	59
107	45
108	52
109	57
110	37
111	54
112	52
113	47
114	50
115	45
116	60
117	49
118	40
119	40
120	46
121	43
122	38
123	56
124	36
125	42
126	43
127	56
128	54
129	57
130	46
131	41
132	48
133	40
134	38
135	48
136	45
137	41
138	50
139	46
140	47
141	40
142	57
143	46
144	55
145	46
146	36
147	49
148	42
149	33
150	53
151	45
152	41
153	45
154	32
155	44
156	42
157	35
158	37
159	50
160	41
161	38
162	51
163	40
164	43
165	30
166	37
167	46
168	31
169	42
170	41
171	33
172	47
173	36
174	39
175	27
176	32
177	35
178	35
179	26
180	27
181	49
182	29
183	31
184	33
185	45
186	42
187	40
188	31
189	35
190	31
191	37
192	22
193	37
194	36
195	27
196	22
197	37
198	32
199	37
200	31
201	29
202	23
203	23
204	15
205	30
206	38
207	29
208	35
209	27
210	20
211	29
212	30
213	24
214	33
215	30
216	31
217	26
218	22
219	23
220	25
221	34
222	17
223	21
224	23
225	26
226	33
227	17
228	25
229	17
230	16
231	24
232	29
233	33
234	25
235	32
236	29
237	28
238	22
239	20
240	30
241	23
242	18
243	19
244	23
245	25
246	18
247	16
248	16
249	19
250	17
251	22
252	26
253	13
254	20
255	20
256	21
257	14
258	15
259	20
260	17
261	24
262	16
263	19
264	24
265	17
266	20
267	12
268	14
269	17
270	16
271	17
272	14
273	16
274	19
275	32
276	24
277	18
278	23
279	23
280	24
281	12
282	24
283	13
284	20
285	26
286	19
287	20
288	16
289	22
290	21
291	19
292	18
293	18
294	17
295	18
296	18
297	19
298	13
299	18
300	24
301	22
302	13
303	14
304	19
305	6
306	14
307	16
308	13
309	15
310	17
311	9
312	15
313	17
314	21
315	13
316	13
317	13
318	11
319	12
320	15
321	12
322	16
323	13
324	11
325	12
326	11
327	16
328	11
329	13
330	15
331	12
332	19
333	11
334	12
335	12
336	10
337	11
338	11
339	10
340	11
341	13
342	13
343	13
344	11
345	12
346	12
347	10
348	10
349	14
350	12
351	8
352	15
353	21
354	6
355	5
356	8
357	14
358	14
359	6
360	9
361	16
362	10
363	8
364	8
365	3
366	9
367	11
368	6
369	10
370	10
371	9
372	5
373	11
374	12
375	9
376	10
377	5
378	14
379	12
380	5
381	13
382	8
383	5
384	9
385	11
386	7
387	9
388	6
389	9
390	8
391	7
392	12
393	9
394	9
395	9
