Filename:  D:\Backup\Documents\FMF\3. Letnik\Fizikalni Praktikum V\Gamma\Na22_long_1.mca
Description:  
TimeStamp:  10/14/2021 17:33:51

Calibration Information
Label:  MeV
Channel	Value
0	0
644	0.511
1515	1.277
A	B	C
-4.25391e-015	0.000756934	5.67463e-008

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
0.49	0.55	0.032	12470	24310	0.52	1.52	GOOD
1.32	1.35	0.001	171	1596	1.34	32.14	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	12
47	74
48	85
49	61
50	71
51	74
52	75
53	91
54	80
55	77
56	70
57	92
58	63
59	84
60	76
61	76
62	75
63	90
64	85
65	86
66	73
67	89
68	84
69	78
70	76
71	70
72	75
73	79
74	73
75	98
76	74
77	100
78	81
79	78
80	83
81	88
82	93
83	86
84	104
85	92
86	102
87	86
88	73
89	105
90	83
91	89
92	81
93	80
94	91
95	94
96	96
97	106
98	112
99	84
100	107
101	89
102	106
103	98
104	88
105	94
106	98
107	86
108	87
109	89
110	87
111	89
112	74
113	69
114	73
115	98
116	90
117	87
118	80
119	66
120	94
121	90
122	73
123	74
124	99
125	85
126	78
127	93
128	82
129	83
130	82
131	84
132	98
133	82
134	101
135	100
136	90
137	76
138	98
139	77
140	94
141	81
142	84
143	75
144	85
145	73
146	77
147	92
148	83
149	74
150	105
151	69
152	81
153	66
154	105
155	99
156	90
157	78
158	84
159	84
160	83
161	78
162	96
163	77
164	78
165	79
166	86
167	64
168	71
169	91
170	94
171	71
172	76
173	92
174	84
175	83
176	77
177	94
178	71
179	98
180	78
181	76
182	69
183	74
184	75
185	85
186	72
187	89
188	75
189	81
190	86
191	75
192	75
193	79
194	79
195	77
196	87
197	79
198	77
199	72
200	83
201	78
202	82
203	78
204	85
205	80
206	81
207	88
208	78
209	69
210	67
211	91
212	93
213	91
214	77
215	73
216	88
217	78
218	82
219	77
220	67
221	80
222	70
223	89
224	82
225	83
226	79
227	93
228	89
229	79
230	80
231	101
232	89
233	81
234	106
235	106
236	102
237	76
238	82
239	82
240	92
241	107
242	88
243	81
244	94
245	82
246	93
247	76
248	75
249	96
250	87
251	91
252	89
253	84
254	70
255	104
256	101
257	64
258	82
259	85
260	76
261	89
262	70
263	83
264	85
265	98
266	75
267	83
268	78
269	99
270	77
271	70
272	84
273	92
274	79
275	91
276	77
277	82
278	76
279	78
280	94
281	88
282	68
283	73
284	88
285	82
286	75
287	75
288	79
289	85
290	101
291	79
292	67
293	67
294	80
295	77
296	97
297	93
298	73
299	100
300	92
301	66
302	92
303	74
304	81
305	66
306	77
307	66
308	87
309	69
310	71
311	77
312	78
313	68
314	85
315	75
316	76
317	70
318	73
319	86
320	72
321	66
322	62
323	74
324	75
325	65
326	67
327	64
328	61
329	51
330	68
331	76
332	79
333	66
334	82
335	80
336	77
337	72
338	63
339	73
340	80
341	63
342	71
343	76
344	73
345	81
346	75
347	62
348	56
349	67
350	77
351	78
352	63
353	71
354	73
355	75
356	70
357	64
358	73
359	71
360	70
361	73
362	77
363	72
364	74
365	78
366	76
367	82
368	67
369	92
370	83
371	65
372	66
373	85
374	75
375	78
376	66
377	69
378	64
379	72
380	64
381	52
382	80
383	87
384	66
385	74
386	83
387	81
388	56
389	67
390	78
391	58
392	66
393	72
394	65
395	82
396	59
397	73
398	64
399	70
400	57
401	75
402	66
403	61
404	67
405	86
406	44
407	62
408	62
409	57
410	47
411	53
412	48
413	56
414	72
415	52
416	52
417	53
418	53
419	60
420	56
421	49
422	60
423	44
424	58
425	42
426	55
427	56
428	52
429	37
430	54
431	44
432	36
433	44
434	47
435	48
436	39
437	44
438	46
439	40
440	61
441	39
442	50
443	48
444	36
445	40
446	37
447	47
448	39
449	41
450	34
451	39
452	34
453	40
454	40
455	40
456	43
457	39
458	33
459	34
460	34
461	28
462	25
463	32
464	34
465	31
466	28
467	33
468	26
469	25
470	39
471	40
472	40
473	29
474	17
475	33
476	33
477	27
478	23
479	29
480	31
481	29
