I [mA]	U [mV]
259	29
260	42
261	50
262	55
263	60
264	65
265	77
267	103
269	130
270	160
271	191
272	220
273	260
274	321
275	377
276	420
277	471
278	500
279	522
280	500
281	420
282	360
283	330
284	180
285	-33
286	-90
287	-220
288	-350
289	-420
290	-460
291	-500
292	-511
293	-450
294	-450
295	-430
296	-350
297	-300
298	-250
299	-230
300	-187
301	-160
302	-140
303	-120
304	-116
305	-99
306	-89
307	-80
308	-65
309	-66
310	-57
311	-50
312	-47
313	-41
314	-31
315	-40
316	-32
317	-34
318	-24
319	-26
324	-24
330	-14
340	-13
