Total counts: 33222
Active taps: 163
Average width: 17.53 ps
Temperature: 66.4 °C

Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
1	420	0.0126422	36.12	18.06	1.0607	1.061
2	443	0.0133345	38.10	55.17	1.1735	2.234
3	535	0.0161038	46.01	97.22	1.6249	3.859
4	311	0.00936127	26.75	133.60	0.5259	4.385
5	60	0.00180603	5.16	149.56	-0.7056	3.679
6	347	0.0104449	29.84	167.06	0.7025	4.382
7	8	0.000240804	0.69	182.32	-0.9607	3.421
8	243	0.00731443	20.90	193.12	0.1923	3.613
9	111	0.00334116	9.55	208.34	-0.4554	3.158
10	370	0.0111372	31.82	229.02	0.8154	3.973
11	7	0.000210704	0.60	245.23	-0.9657	3.008
12	385	0.0115887	33.11	262.09	0.8890	3.897
13	15	0.000451508	1.29	279.29	-0.9264	2.970
14	405	0.0121907	34.83	297.35	0.9871	3.957
15	23	0.000692312	1.98	315.75	-0.8872	3.070
16	719	0.0216423	61.84	347.66	2.5277	5.598
17	15	0.000451508	1.29	379.22	-0.9264	4.672
18	422	0.0127024	36.29	398.02	1.0705	5.742
19	17	0.000511709	1.46	416.89	-0.9166	4.825
20	10	0.000301005	0.86	418.05	-0.9509	3.874
21	26	0.000782614	2.24	419.60	-0.8724	3.002
22	324	0.00975257	27.86	434.65	0.5897	3.592
23	102	0.00307025	8.77	452.97	-0.4995	3.092
24	351	0.0105653	30.19	472.45	0.7221	3.814
25	66	0.00198664	5.68	490.38	-0.6762	3.138
26	290	0.00872916	24.94	505.69	0.4229	3.561
27	86	0.00258865	7.40	521.86	-0.5781	2.983
28	63	0.00189633	5.42	528.26	-0.6909	2.292
29	19	0.00057191	1.63	531.79	-0.9068	1.385
30	362	0.0108964	31.13	548.17	0.7761	2.161
31	119	0.00358196	10.23	568.86	-0.4161	1.745
32	800	0.0240804	68.80	608.37	2.9251	4.670
33	79	0.00237794	6.79	646.17	-0.6124	4.058
34	315	0.00948167	27.09	663.11	0.5455	4.603
35	86	0.00258865	7.40	680.36	-0.5781	4.025
36	182	0.0054783	15.65	691.88	-0.1070	3.918
37	95	0.00285955	8.17	703.79	-0.5339	3.384
38	425	0.0127927	36.55	726.15	1.0852	4.470
39	22	0.000662212	1.89	745.38	-0.8921	3.578
40	5	0.000150503	0.43	746.54	-0.9755	2.602
41	14	0.000421408	1.20	747.35	-0.9313	1.671
42	373	0.0112275	32.08	763.99	0.8301	2.501
43	169	0.00508699	14.53	787.30	-0.1708	2.330
44	701	0.0211005	60.29	824.71	2.4394	4.769
45	203	0.00611041	17.46	863.58	-0.0040	4.765
46	321	0.00966227	27.61	886.12	0.5750	5.340
47	93	0.00279935	8.00	903.92	-0.5437	4.797
48	30	0.000903016	2.58	909.21	-0.8528	3.944
49	124	0.00373247	10.66	915.83	-0.3916	3.552
50	255	0.00767564	21.93	932.13	0.2511	3.803
51	17	0.000511709	1.46	943.82	-0.9166	2.887
52	150	0.00451508	12.90	951.00	-0.2640	2.623
53	46	0.00138462	3.96	959.43	-0.7743	1.849
54	213	0.00641141	18.32	970.57	0.0451	1.894
55	87	0.00261875	7.48	983.47	-0.5731	1.320
56	842	0.0253447	72.41	1023.42	3.1312	4.452
57	80	0.00240804	6.88	1063.06	-0.6075	3.844
58	401	0.0120703	34.49	1083.75	0.9675	4.812
59	7	0.000210704	0.60	1101.29	-0.9657	3.846
60	335	0.0100837	28.81	1116.00	0.6436	4.490
61	95	0.00285955	8.17	1134.49	-0.5339	3.956
62	369	0.0111071	31.73	1154.44	0.8105	4.766
63	52	0.00156523	4.47	1172.54	-0.7449	4.021
64	440	0.0132442	37.84	1193.70	1.1588	5.180
65	41	0.00123412	3.53	1214.38	-0.7988	4.381
66	157	0.00472578	13.50	1222.90	-0.2297	4.152
67	118	0.00355186	10.15	1234.72	-0.4210	3.730
68	106	0.00319066	9.12	1244.36	-0.4799	3.251
69	31	0.000933117	2.67	1250.25	-0.8479	2.403
70	173	0.00520739	14.88	1259.02	-0.1512	2.251
71	128	0.00385287	11.01	1271.96	-0.3720	1.879
72	368	0.011077	31.65	1293.29	0.8056	2.685
73	35	0.00105352	3.01	1310.62	-0.8283	1.857
74	382	0.0114984	32.85	1328.55	0.8742	2.731
75	21	0.000632111	1.81	1345.88	-0.8970	1.834
76	436	0.0131238	37.50	1365.53	1.1392	2.973
77	12	0.000361206	1.03	1384.80	-0.9411	2.032
78	381	0.0114683	32.77	1401.70	0.8693	2.901
79	24	0.000722413	2.06	1419.11	-0.8822	2.019
80	121	0.00364216	10.41	1425.35	-0.4063	1.613
81	39	0.00117392	3.35	1432.23	-0.8087	0.804
82	357	0.0107459	30.70	1449.25	0.7516	1.556
83	128	0.00385287	11.01	1470.11	-0.3720	1.184
84	367	0.0110469	31.56	1491.40	0.8006	1.984
85	85	0.00255855	7.31	1510.83	-0.5830	1.401
86	241	0.00725423	20.73	1524.85	0.1824	1.584
87	110	0.00331106	9.46	1539.94	-0.4603	1.124
88	490	0.0147493	42.14	1565.74	1.4041	2.528
89	41	0.00123412	3.53	1588.58	-0.7988	1.729
90	348	0.010475	29.93	1605.30	0.7074	2.436
91	126	0.00379267	10.84	1625.69	-0.3818	2.055
92	115	0.00346156	9.89	1636.05	-0.4358	1.619
93	36	0.00108362	3.10	1642.54	-0.8234	0.795
94	362	0.0108964	31.13	1659.66	0.7761	1.572
95	16	0.000481609	1.38	1675.91	-0.9215	0.650
96	496	0.0149299	42.66	1697.93	1.4336	2.084
97	18	0.00054181	1.55	1720.03	-0.9117	1.172
98	314	0.00945157	27.00	1734.31	0.5406	1.713
99	141	0.00424418	12.13	1753.87	-0.3082	1.404
100	381	0.0114683	32.77	1776.32	0.8693	2.274
101	28	0.000842815	2.41	1793.91	-0.8626	1.411
102	394	0.0118596	33.88	1812.05	0.9331	2.344
103	76	0.00228764	6.54	1832.26	-0.6271	1.717
104	435	0.0130937	37.41	1854.24	1.1343	2.851
105	15	0.000451508	1.29	1873.59	-0.9264	1.925
106	390	0.0117392	33.54	1891.00	0.9135	2.838
107	116	0.00349166	9.98	1912.76	-0.4309	2.408
108	219	0.00659202	18.83	1927.17	0.0745	2.482
109	68	0.00204684	5.85	1939.51	-0.6664	1.816
110	371	0.0111673	31.91	1958.38	0.8203	2.636
111	41	0.00123412	3.53	1976.10	-0.7988	1.837
112	399	0.0120101	34.31	1995.02	0.9576	2.795
113	10	0.000301005	0.86	2012.61	-0.9509	1.844
114	349	0.0105051	30.01	2028.05	0.7123	2.556
115	101	0.00304015	8.69	2047.40	-0.5045	2.052
116	183	0.0055084	15.74	2059.61	-0.1021	1.950
117	45	0.00135452	3.87	2069.41	-0.7792	1.170
118	380	0.0114382	32.68	2087.69	0.8644	2.035
119	57	0.00171573	4.90	2106.48	-0.7203	1.314
120	638	0.0192041	54.87	2136.36	2.1303	3.445
121	90	0.00270905	7.74	2167.67	-0.5584	2.886
122	345	0.0103847	29.67	2186.37	0.6927	3.579
123	29	0.000872916	2.49	2202.46	-0.8577	2.721
124	335	0.0100837	28.81	2218.11	0.6436	3.365
125	25	0.000752513	2.15	2233.59	-0.8773	2.488
126	370	0.0111372	31.82	2250.57	0.8154	3.303
127	82	0.00246824	7.05	2270.01	-0.5977	2.705
128	253	0.00761544	21.76	2284.42	0.2413	2.947
129	7	0.000210704	0.60	2295.60	-0.9657	1.981
130	382	0.0114984	32.85	2312.32	0.8742	2.855
131	24	0.000722413	2.06	2329.78	-0.8822	1.973
132	280	0.00842815	24.08	2342.85	0.3738	2.347
133	90	0.00270905	7.74	2358.76	-0.5584	1.788
134	389	0.0117091	33.45	2379.36	0.9086	2.697
135	17	0.000511709	1.46	2396.82	-0.9166	1.780
136	448	0.013485	38.53	2416.82	1.1981	2.978
137	38	0.00114382	3.27	2437.71	-0.8136	2.165
138	361	0.0108663	31.05	2454.87	0.7712	2.936
139	8	0.000240804	0.69	2470.74	-0.9607	1.975
140	595	0.0179098	51.17	2496.67	1.9193	3.895
141	18	0.00054181	1.55	2523.03	-0.9117	2.983
142	312	0.00939137	26.83	2537.22	0.5308	3.514
143	116	0.00349166	9.98	2555.62	-0.4309	3.083
144	242	0.00728433	20.81	2571.02	0.1873	3.270
145	41	0.00123412	3.53	2583.18	-0.7988	2.471
146	297	0.00893986	25.54	2597.72	0.4572	2.928
147	108	0.00325086	9.29	2615.13	-0.4701	2.458
148	354	0.0106556	30.44	2635.00	0.7369	3.195
149	23	0.000692312	1.98	2651.21	-0.8872	2.308
150	383	0.0115285	32.94	2668.67	0.8791	3.187
151	68	0.00204684	5.85	2688.06	-0.6664	2.521
152	231	0.00695322	19.87	2700.92	0.1334	2.654
153	108	0.00325086	9.29	2715.50	-0.4701	2.184
154	318	0.00957197	27.35	2733.82	0.5602	2.744
155	62	0.00186623	5.33	2750.16	-0.6958	2.049
156	431	0.0129733	37.07	2771.36	1.1147	3.163
157	6	0.000180603	0.52	2790.15	-0.9706	2.193
158	399	0.0120101	34.31	2807.56	0.9576	3.150
159	74	0.00222744	6.36	2827.90	-0.6369	2.513
160	115	0.00346156	9.89	2836.03	-0.4358	2.078
161	72	0.00216724	6.19	2844.07	-0.6467	1.431
162	115	0.00346156	9.89	2852.11	-0.4358	0.995
163	1	3.01005e-05	0.09	2857.10	-0.9951	0.000
164	0	0	0.00	2857.14	0.0000	0.000
165	0	0	0.00	2857.14	0.0000	0.000
166	0	0	0.00	2857.14	0.0000	0.000
167	0	0	0.00	2857.14	0.0000	0.000
168	0	0	0.00	2857.14	0.0000	0.000
169	0	0	0.00	2857.14	0.0000	0.000
170	0	0	0.00	2857.14	0.0000	0.000
171	0	0	0.00	2857.14	0.0000	0.000
172	0	0	0.00	2857.14	0.0000	0.000
173	0	0	0.00	2857.14	0.0000	0.000
174	0	0	0.00	2857.14	0.0000	0.000
175	0	0	0.00	2857.14	0.0000	0.000
176	0	0	0.00	2857.14	0.0000	0.000
177	0	0	0.00	2857.14	0.0000	0.000
178	0	0	0.00	2857.14	0.0000	0.000
179	0	0	0.00	2857.14	0.0000	0.000
180	0	0	0.00	2857.14	0.0000	0.000
181	0	0	0.00	2857.14	0.0000	0.000
182	0	0	0.00	2857.14	0.0000	0.000
183	0	0	0.00	2857.14	0.0000	0.000
184	0	0	0.00	2857.14	0.0000	0.000
185	0	0	0.00	2857.14	0.0000	0.000
186	0	0	0.00	2857.14	0.0000	0.000
187	0	0	0.00	2857.14	0.0000	0.000
188	0	0	0.00	2857.14	0.0000	0.000
189	0	0	0.00	2857.14	0.0000	0.000
190	0	0	0.00	2857.14	0.0000	0.000
191	0	0	0.00	2857.14	0.0000	0.000
192	0	0	0.00	2857.14	0.0000	0.000
