START: TDC 0
STOP: TDC 0
1st stop option: Off
From: -48000000000 ps
To: 48000000000 ps
START counts: 31272
STOP counts: 31272
Time intervals: 31255
Elapsed time: 103.6 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
0	1403	2.83927e-10
158100000	1367	2.76641e-10
316200000	1440	2.91414e-10
474300000	1299	2.6288e-10
632400000	1173	2.37381e-10
790500000	1146	2.31917e-10
948600000	1120	2.26656e-10
1106700000	1075	2.17549e-10
1264800000	988	1.99943e-10
1422900000	915	1.8517e-10
1581000000	922	1.86586e-10
1739100000	848	1.71611e-10
1897200000	828	1.67563e-10
2055300000	767	1.55219e-10
2213400000	737	1.49148e-10
2371500000	734	1.4854e-10
2529600000	709	1.43481e-10
2687700000	657	1.32958e-10
2845800000	656	1.32755e-10
3003900000	569	1.15149e-10
3162000000	562	1.13733e-10
3320100000	519	1.05031e-10
3478200000	520	1.05233e-10
3636300000	515	1.04221e-10
3794400000	455	9.20789e-11
3952500000	461	9.32931e-11
4110600000	414	8.37817e-11
4268700000	404	8.17579e-11
4426800000	378	7.64963e-11
4584900000	324	6.55683e-11
4743000000	366	7.40678e-11
4901100000	310	6.27351e-11
5059200000	340	6.88062e-11
5217300000	295	5.96995e-11
5375400000	256	5.1807e-11
5533500000	267	5.40331e-11
5691600000	299	6.0509e-11
5849700000	219	4.43193e-11
6007800000	239	4.83667e-11
6165900000	222	4.49264e-11
6324000000	230	4.65454e-11
6482100000	200	4.04742e-11
6640200000	207	4.18908e-11
6798300000	174	3.52126e-11
6956400000	183	3.70339e-11
7114500000	172	3.48078e-11
7272600000	145	2.93438e-11
7430700000	163	3.29865e-11
7588800000	135	2.73201e-11
7746900000	130	2.63083e-11
7905000000	111	2.24632e-11
8063100000	134	2.71177e-11
8221200000	126	2.54988e-11
8379300000	128	2.59035e-11
8537400000	105	2.1249e-11
8695500000	106	2.14513e-11
8853600000	98	1.98324e-11
9011700000	80	1.61897e-11
9169800000	84	1.69992e-11
9327900000	79	1.59873e-11
9486000000	79	1.59873e-11
9644100000	83	1.67968e-11
9802200000	73	1.47731e-11
9960300000	79	1.59873e-11
10118400000	64	1.29518e-11
10276500000	59	1.19399e-11
10434600000	60	1.21423e-11
10592700000	58	1.17375e-11
10750800000	49	9.91619e-12
10908900000	55	1.11304e-11
11067000000	53	1.07257e-11
11225100000	37	7.48773e-12
11383200000	44	8.90433e-12
11541300000	41	8.29722e-12
11699400000	53	1.07257e-11
11857500000	44	8.90433e-12
12015600000	44	8.90433e-12
12173700000	28	5.66639e-12
12331800000	39	7.89248e-12
12489900000	26	5.26165e-12
12648000000	32	6.47588e-12
12806100000	32	6.47588e-12
12964200000	27	5.46402e-12
13122300000	30	6.07113e-12
13280400000	17	3.44031e-12
13438500000	23	4.65454e-12
13596600000	29	5.86876e-12
13754700000	25	5.05928e-12
13912800000	21	4.24979e-12
14070900000	17	3.44031e-12
14229000000	17	3.44031e-12
14387100000	21	4.24979e-12
14545200000	21	4.24979e-12
14703300000	16	3.23794e-12
14861400000	17	3.44031e-12
15019500000	21	4.24979e-12
15177600000	19	3.84505e-12
15335700000	17	3.44031e-12
15493800000	12	2.42845e-12
15651900000	18	3.64268e-12
15810000000	15	3.03557e-12
15968100000	11	2.22608e-12
16126200000	12	2.42845e-12
16284300000	12	2.42845e-12
16442400000	8	1.61897e-12
16600500000	6	1.21423e-12
16758600000	9	1.82134e-12
16916700000	10	2.02371e-12
17074800000	9	1.82134e-12
17232900000	5	1.01186e-12
17391000000	9	1.82134e-12
17549100000	5	1.01186e-12
17707200000	7	1.4166e-12
17865300000	6	1.21423e-12
18023400000	4	8.09485e-13
18181500000	2	4.04742e-13
18339600000	5	1.01186e-12
18497700000	6	1.21423e-12
18655800000	3	6.07113e-13
18813900000	4	8.09485e-13
18972000000	5	1.01186e-12
19130100000	5	1.01186e-12
19288200000	2	4.04742e-13
19446300000	2	4.04742e-13
19604400000	1	2.02371e-13
19762500000	2	4.04742e-13
19920600000	1	2.02371e-13
20078700000	7	1.4166e-12
20236800000	2	4.04742e-13
20394900000	2	4.04742e-13
20553000000	2	4.04742e-13
20711100000	1	2.02371e-13
20869200000	5	1.01186e-12
21027300000	3	6.07113e-13
21185400000	2	4.04742e-13
21343500000	5	1.01186e-12
21501600000	3	6.07113e-13
21659700000	2	4.04742e-13
21817800000	1	2.02371e-13
21975900000	2	4.04742e-13
22134000000	2	4.04742e-13
22292100000	4	8.09485e-13
22450200000	2	4.04742e-13
22608300000	1	2.02371e-13
22766400000	1	2.02371e-13
22924500000	0	0
23082600000	2	4.04742e-13
23240700000	1	2.02371e-13
23398800000	0	0
