START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48000000000 ps
To: 48000000000 ps
START counts: 3025
STOP counts: 11681
Time intervals: 23325
Elapsed time: 30.2 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-48000000000	7	6.27839e-13
-47522000000	3	2.69074e-13
-47044000000	3	2.69074e-13
-46566000000	4	3.58765e-13
-46088000000	6	5.38148e-13
-45610000000	2	1.79383e-13
-45132000000	3	2.69074e-13
-44654000000	9	8.07222e-13
-44176000000	4	3.58765e-13
-43698000000	5	4.48457e-13
-43220000000	2	1.79383e-13
-42742000000	4	3.58765e-13
-42264000000	13	1.16599e-12
-41786000000	8	7.17531e-13
-41308000000	8	7.17531e-13
-40830000000	7	6.27839e-13
-40352000000	10	8.96913e-13
-39874000000	10	8.96913e-13
-39396000000	13	1.16599e-12
-38918000000	10	8.96913e-13
-38440000000	13	1.16599e-12
-37962000000	10	8.96913e-13
-37484000000	10	8.96913e-13
-37006000000	8	7.17531e-13
-36528000000	12	1.0763e-12
-36050000000	10	8.96913e-13
-35572000000	13	1.16599e-12
-35094000000	15	1.34537e-12
-34616000000	19	1.70414e-12
-34138000000	16	1.43506e-12
-33660000000	16	1.43506e-12
-33182000000	20	1.79383e-12
-32704000000	12	1.0763e-12
-32226000000	20	1.79383e-12
-31748000000	29	2.60105e-12
-31270000000	20	1.79383e-12
-30792000000	28	2.51136e-12
-30314000000	21	1.88352e-12
-29836000000	28	2.51136e-12
-29358000000	31	2.78043e-12
-28880000000	30	2.69074e-12
-28402000000	33	2.95981e-12
-27924000000	41	3.67734e-12
-27446000000	32	2.87012e-12
-26968000000	39	3.49796e-12
-26490000000	42	3.76704e-12
-26012000000	39	3.49796e-12
-25534000000	32	2.87012e-12
-25056000000	44	3.94642e-12
-24578000000	50	4.48457e-12
-24100000000	43	3.85673e-12
-23622000000	62	5.56086e-12
-23144000000	47	4.21549e-12
-22666000000	63	5.65055e-12
-22188000000	49	4.39488e-12
-21710000000	70	6.27839e-12
-21232000000	50	4.48457e-12
-20754000000	69	6.1887e-12
-20276000000	63	5.65055e-12
-19798000000	80	7.17531e-12
-19320000000	83	7.44438e-12
-18842000000	76	6.81654e-12
-18364000000	92	8.2516e-12
-17886000000	91	8.16191e-12
-17408000000	102	9.14852e-12
-16930000000	93	8.34129e-12
-16452000000	111	9.95574e-12
-15974000000	107	9.59697e-12
-15496000000	101	9.05882e-12
-15018000000	120	1.0763e-11
-14540000000	138	1.23774e-11
-14062000000	129	1.15702e-11
-13584000000	159	1.42609e-11
-13106000000	161	1.44403e-11
-12628000000	165	1.47991e-11
-12150000000	146	1.30949e-11
-11672000000	170	1.52475e-11
-11194000000	203	1.82073e-11
-10716000000	203	1.82073e-11
-10238000000	213	1.91043e-11
-9760000000	224	2.00909e-11
-9282000000	247	2.21538e-11
-8804000000	249	2.23331e-11
-8326000000	248	2.22434e-11
-7848000000	262	2.34991e-11
-7370000000	267	2.39476e-11
-6892000000	299	2.68177e-11
-6414000000	321	2.87909e-11
-5936000000	312	2.79837e-11
-5458000000	345	3.09435e-11
-4980000000	376	3.37239e-11
-4502000000	380	3.40827e-11
-4024000000	406	3.64147e-11
-3546000000	393	3.52487e-11
-3068000000	432	3.87467e-11
-2590000000	439	3.93745e-11
-2112000000	502	4.5025e-11
-1634000000	499	4.4756e-11
-1156000000	517	4.63704e-11
-678000000	576	5.16622e-11
-200000000	655	5.87478e-11
278000000	578	5.18416e-11
756000000	526	4.71776e-11
1234000000	436	3.91054e-11
1712000000	499	4.4756e-11
2190000000	450	4.03611e-11
2668000000	405	3.6325e-11
3146000000	421	3.776e-11
3624000000	351	3.14817e-11
4102000000	353	3.1661e-11
4580000000	346	3.10332e-11
5058000000	346	3.10332e-11
5536000000	324	2.906e-11
6014000000	292	2.61899e-11
6492000000	284	2.54723e-11
6970000000	265	2.37682e-11
7448000000	270	2.42167e-11
7926000000	239	2.14362e-11
8404000000	248	2.22434e-11
8882000000	250	2.24228e-11
9360000000	198	1.77589e-11
9838000000	223	2.00012e-11
10316000000	212	1.90146e-11
10794000000	174	1.56063e-11
11272000000	176	1.57857e-11
11750000000	174	1.56063e-11
12228000000	165	1.47991e-11
12706000000	163	1.46197e-11
13184000000	111	9.95574e-12
13662000000	153	1.37228e-11
14140000000	133	1.19289e-11
14618000000	112	1.00454e-11
15096000000	121	1.08527e-11
15574000000	118	1.05836e-11
16052000000	117	1.04939e-11
16530000000	93	8.34129e-12
17008000000	92	8.2516e-12
17486000000	94	8.43098e-12
17964000000	105	9.41759e-12
18442000000	94	8.43098e-12
18920000000	85	7.62376e-12
19398000000	72	6.45778e-12
19876000000	72	6.45778e-12
20354000000	67	6.00932e-12
20832000000	84	7.53407e-12
21310000000	66	5.91963e-12
21788000000	69	6.1887e-12
22266000000	49	4.39488e-12
22744000000	65	5.82994e-12
23222000000	39	3.49796e-12
23700000000	46	4.1258e-12
24178000000	54	4.84333e-12
24656000000	42	3.76704e-12
25134000000	42	3.76704e-12
25612000000	46	4.1258e-12
26090000000	35	3.1392e-12
26568000000	38	3.40827e-12
27046000000	34	3.04951e-12
27524000000	28	2.51136e-12
28002000000	27	2.42167e-12
28480000000	25	2.24228e-12
28958000000	32	2.87012e-12
29436000000	26	2.33197e-12
29914000000	27	2.42167e-12
30392000000	16	1.43506e-12
30870000000	24	2.15259e-12
31348000000	24	2.15259e-12
31826000000	18	1.61444e-12
32304000000	17	1.52475e-12
32782000000	18	1.61444e-12
33260000000	11	9.86605e-13
33738000000	13	1.16599e-12
34216000000	21	1.88352e-12
34694000000	10	8.96913e-13
35172000000	16	1.43506e-12
35650000000	14	1.25568e-12
36128000000	15	1.34537e-12
36606000000	17	1.52475e-12
37084000000	7	6.27839e-13
37562000000	12	1.0763e-12
38040000000	8	7.17531e-13
38518000000	8	7.17531e-13
38996000000	13	1.16599e-12
39474000000	8	7.17531e-13
39952000000	5	4.48457e-13
