START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48000000000 ps
To: 48000000000 ps
START counts: 31239
STOP counts: 134830
Time intervals: 269061
Elapsed time: 110.0 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-48000000000	1	9.15426e-15
-47594000000	0	0
-47188000000	3	2.74628e-14
-46782000000	1	9.15426e-15
-46376000000	4	3.6617e-14
-45970000000	3	2.74628e-14
-45564000000	4	3.6617e-14
-45158000000	1	9.15426e-15
-44752000000	1	9.15426e-15
-44346000000	2	1.83085e-14
-43940000000	0	0
-43534000000	3	2.74628e-14
-43128000000	1	9.15426e-15
-42722000000	3	2.74628e-14
-42316000000	4	3.6617e-14
-41910000000	0	0
-41504000000	2	1.83085e-14
-41098000000	2	1.83085e-14
-40692000000	0	0
-40286000000	0	0
-39880000000	4	3.6617e-14
-39474000000	2	1.83085e-14
-39068000000	0	0
-38662000000	1	9.15426e-15
-38256000000	1	9.15426e-15
-37850000000	0	0
-37444000000	0	0
-37038000000	0	0
-36632000000	0	0
-36226000000	1	9.15426e-15
-35820000000	0	0
-35414000000	2	1.83085e-14
-35008000000	2	1.83085e-14
-34602000000	0	0
-34196000000	2	1.83085e-14
-33790000000	1	9.15426e-15
-33384000000	4	3.6617e-14
-32978000000	3	2.74628e-14
-32572000000	8	7.32341e-14
-32166000000	5	4.57713e-14
-31760000000	3	2.74628e-14
-31354000000	7	6.40798e-14
-30948000000	4	3.6617e-14
-30542000000	5	4.57713e-14
-30136000000	9	8.23883e-14
-29730000000	3	2.74628e-14
-29324000000	7	6.40798e-14
-28918000000	15	1.37314e-13
-28512000000	10	9.15426e-14
-28106000000	14	1.2816e-13
-27700000000	10	9.15426e-14
-27294000000	6	5.49256e-14
-26888000000	16	1.46468e-13
-26482000000	9	8.23883e-14
-26076000000	10	9.15426e-14
-25670000000	16	1.46468e-13
-25264000000	9	8.23883e-14
-24858000000	15	1.37314e-13
-24452000000	26	2.38011e-13
-24046000000	9	8.23883e-14
-23640000000	17	1.55622e-13
-23234000000	21	1.92239e-13
-22828000000	24	2.19702e-13
-22422000000	30	2.74628e-13
-22016000000	29	2.65474e-13
-21610000000	36	3.29553e-13
-21204000000	24	2.19702e-13
-20798000000	34	3.11245e-13
-20392000000	37	3.38708e-13
-19986000000	43	3.93633e-13
-19580000000	39	3.57016e-13
-19174000000	46	4.21096e-13
-18768000000	49	4.48559e-13
-18362000000	75	6.86569e-13
-17956000000	68	6.2249e-13
-17550000000	91	8.33038e-13
-17144000000	98	8.97117e-13
-16738000000	91	8.33038e-13
-16332000000	143	1.30906e-12
-15926000000	156	1.42806e-12
-15520000000	147	1.34568e-12
-15114000000	184	1.68438e-12
-14708000000	188	1.721e-12
-14302000000	241	2.20618e-12
-13896000000	230	2.10548e-12
-13490000000	316	2.89275e-12
-13084000000	320	2.92936e-12
-12678000000	338	3.09414e-12
-12272000000	402	3.68001e-12
-11866000000	430	3.93633e-12
-11460000000	479	4.38489e-12
-11054000000	572	5.23624e-12
-10648000000	645	5.9045e-12
-10242000000	783	7.16779e-12
-9836000000	841	7.69873e-12
-9430000000	963	8.81555e-12
-9024000000	1081	9.89575e-12
-8618000000	1190	1.08936e-11
-8212000000	1353	1.23857e-11
-7806000000	1511	1.38321e-11
-7400000000	1851	1.69445e-11
-6994000000	2025	1.85374e-11
-6588000000	2337	2.13935e-11
-6182000000	2626	2.40391e-11
-5776000000	2944	2.69501e-11
-5370000000	3395	3.10787e-11
-4964000000	3817	3.49418e-11
-4558000000	4372	4.00224e-11
-4152000000	4779	4.37482e-11
-3746000000	5552	5.08244e-11
-3340000000	6247	5.71867e-11
-2934000000	6953	6.36496e-11
-2528000000	8080	7.39664e-11
-2122000000	9222	8.44206e-11
-1716000000	10348	9.47283e-11
-1310000000	11659	1.0673e-10
-904000000	13265	1.21431e-10
-498000000	14801	1.35492e-10
-92000000	19070	1.74572e-10
314000000	14206	1.30045e-10
720000000	12526	1.14666e-10
1126000000	11185	1.0239e-10
1532000000	9990	9.14511e-11
1938000000	8751	8.01089e-11
2344000000	7566	6.92611e-11
2750000000	6713	6.14525e-11
3156000000	5931	5.42939e-11
3562000000	5281	4.83436e-11
3968000000	4712	4.31349e-11
4374000000	4200	3.84479e-11
4780000000	3636	3.32849e-11
5186000000	3163	2.89549e-11
5592000000	2891	2.6465e-11
5998000000	2543	2.32793e-11
6404000000	2189	2.00387e-11
6810000000	1964	1.7979e-11
7216000000	1773	1.62305e-11
7622000000	1528	1.39877e-11
8028000000	1388	1.27061e-11
8434000000	1197	1.09576e-11
8840000000	974	8.91625e-12
9246000000	891	8.15645e-12
9652000000	802	7.34172e-12
10058000000	716	6.55445e-12
10464000000	622	5.69395e-12
10870000000	513	4.69614e-12
11276000000	486	4.44897e-12
11682000000	374	3.42369e-12
12088000000	393	3.59762e-12
12494000000	332	3.03921e-12
12900000000	283	2.59066e-12
13306000000	248	2.27026e-12
13712000000	238	2.17871e-12
14118000000	197	1.80339e-12
14524000000	219	2.00478e-12
14930000000	187	1.71185e-12
15336000000	151	1.38229e-12
15742000000	121	1.10767e-12
16148000000	110	1.00697e-12
16554000000	101	9.2458e-13
16960000000	104	9.52043e-13
17366000000	76	6.95724e-13
17772000000	70	6.40798e-13
18178000000	43	3.93633e-13
18584000000	43	3.93633e-13
18990000000	42	3.84479e-13
19396000000	42	3.84479e-13
19802000000	42	3.84479e-13
20208000000	33	3.02091e-13
20614000000	30	2.74628e-13
21020000000	21	1.92239e-13
21426000000	24	2.19702e-13
21832000000	17	1.55622e-13
22238000000	17	1.55622e-13
22644000000	15	1.37314e-13
23050000000	17	1.55622e-13
23456000000	15	1.37314e-13
23862000000	20	1.83085e-13
24268000000	14	1.2816e-13
24674000000	15	1.37314e-13
25080000000	15	1.37314e-13
25486000000	9	8.23883e-14
25892000000	15	1.37314e-13
26298000000	8	7.32341e-14
26704000000	6	5.49256e-14
27110000000	5	4.57713e-14
27516000000	3	2.74628e-14
27922000000	2	1.83085e-14
28328000000	7	6.40798e-14
28734000000	4	3.6617e-14
29140000000	0	0
29546000000	5	4.57713e-14
29952000000	2	1.83085e-14
30358000000	2	1.83085e-14
30764000000	1	9.15426e-15
31170000000	2	1.83085e-14
31576000000	0	0
31982000000	0	0
32388000000	1	9.15426e-15
32794000000	1	9.15426e-15
