START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -600000 ps
To: 600000 ps
START counts: 2944
STOP counts: 11590
Time intervals: 90
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-600000	0	0
-594000	0	0
-588000	0	0
-582000	0	0
-576000	0	0
-570000	0	0
-564000	0	0
-558000	0	0
-552000	0	0
-546000	0	0
-540000	0	0
-534000	0	0
-528000	0	0
-522000	0	0
-516000	0	0
-510000	0	0
-504000	0	0
-498000	0	0
-492000	0	0
-486000	0	0
-480000	0	0
-474000	0	0
-468000	0	0
-462000	0	0
-456000	0	0
-450000	0	0
-444000	0	0
-438000	0	0
-432000	0	0
-426000	0	0
-420000	0	0
-414000	0	0
-408000	0	0
-402000	0	0
-396000	0	0
-390000	0	0
-384000	0	0
-378000	0	0
-372000	1	1.85185e-06
-366000	0	0
-360000	0	0
-354000	0	0
-348000	0	0
-342000	0	0
-336000	0	0
-330000	0	0
-324000	0	0
-318000	0	0
-312000	0	0
-306000	0	0
-300000	0	0
-294000	0	0
-288000	0	0
-282000	0	0
-276000	0	0
-270000	0	0
-264000	0	0
-258000	0	0
-252000	0	0
-246000	0	0
-240000	0	0
-234000	0	0
-228000	0	0
-222000	0	0
-216000	0	0
-210000	0	0
-204000	0	0
-198000	0	0
-192000	0	0
-186000	0	0
-180000	0	0
-174000	0	0
-168000	0	0
-162000	0	0
-156000	0	0
-150000	0	0
-144000	0	0
-138000	0	0
-132000	0	0
-126000	0	0
-120000	0	0
-114000	0	0
-108000	0	0
-102000	1	1.85185e-06
-96000	1	1.85185e-06
-90000	0	0
-84000	0	0
-78000	0	0
-72000	2	3.7037e-06
-66000	0	0
-60000	0	0
-54000	0	0
-48000	0	0
-42000	1	1.85185e-06
-36000	1	1.85185e-06
-30000	0	0
-24000	1	1.85185e-06
-18000	1	1.85185e-06
-12000	2	3.7037e-06
-6000	4	7.40741e-06
0	4	7.40741e-06
6000	0	0
12000	0	0
18000	5	9.25926e-06
24000	3	5.55556e-06
30000	0	0
36000	1	1.85185e-06
42000	5	9.25926e-06
48000	5	9.25926e-06
54000	2	3.7037e-06
60000	3	5.55556e-06
66000	6	1.11111e-05
72000	4	7.40741e-06
78000	2	3.7037e-06
84000	7	1.2963e-05
90000	7	1.2963e-05
96000	3	5.55556e-06
102000	4	7.40741e-06
108000	1	1.85185e-06
114000	1	1.85185e-06
120000	2	3.7037e-06
126000	2	3.7037e-06
132000	4	7.40741e-06
138000	0	0
144000	0	0
150000	2	3.7037e-06
156000	1	1.85185e-06
162000	0	0
168000	0	0
174000	0	0
180000	1	1.85185e-06
186000	0	0
192000	0	0
198000	0	0
204000	0	0
210000	0	0
216000	0	0
222000	0	0
228000	0	0
234000	0	0
240000	0	0
246000	0	0
252000	0	0
258000	0	0
264000	0	0
270000	0	0
276000	0	0
282000	0	0
288000	0	0
294000	0	0
300000	0	0
306000	0	0
312000	0	0
318000	0	0
324000	0	0
330000	0	0
336000	0	0
342000	0	0
348000	0	0
354000	0	0
360000	0	0
366000	0	0
372000	0	0
378000	0	0
384000	0	0
390000	0	0
396000	0	0
402000	0	0
408000	0	0
414000	0	0
420000	0	0
426000	0	0
432000	0	0
438000	0	0
444000	0	0
450000	0	0
456000	0	0
462000	0	0
468000	0	0
474000	0	0
480000	0	0
486000	0	0
492000	0	0
498000	0	0
504000	0	0
510000	0	0
516000	0	0
522000	0	0
528000	0	0
534000	0	0
540000	0	0
546000	0	0
552000	0	0
558000	0	0
564000	0	0
570000	0	0
576000	0	0
582000	0	0
588000	0	0
594000	0	0
