START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -600000 ps
To: 600000 ps
START counts: 16384
STOP counts: 16358
Time intervals: 16351
Elapsed time: 30.1 s
Offset: 0 ps

Time [ps]	Counts	PDF [1/ps]
-2044.8	1	6.52704e-05
-2043.863	0	0
-2042.926	0	0
-2041.989	0	0
-2041.052	0	0
-2040.115	0	0
-2039.178	0	0
-2038.241	0	0
-2037.304	0	0
-2036.367	0	0
-2035.43	0	0
-2034.493	0	0
-2033.556	0	0
-2032.619	11	0.000717974
-2031.682	0	0
-2030.745	1	6.52704e-05
-2029.808	0	0
-2028.871	1	6.52704e-05
-2027.934	8	0.000522163
-2026.997	2	0.000130541
-2026.06	0	0
-2025.123	0	0
-2024.186	0	0
-2023.249	0	0
-2022.312	1	6.52704e-05
-2021.375	5	0.000326352
-2020.438	0	0
-2019.501	3	0.000195811
-2018.564	0	0
-2017.627	0	0
-2016.69	17	0.0011096
-2015.753	1	6.52704e-05
-2014.816	6	0.000391622
-2013.879	7	0.000456893
-2012.942	47	0.00306771
-2012.005	11	0.000717974
-2011.068	5	0.000326352
-2010.131	6	0.000391622
-2009.194	6	0.000391622
-2008.257	9	0.000587433
-2007.32	169	0.0110307
-2006.383	7	0.000456893
-2005.446	48	0.00313298
-2004.509	11	0.000717974
-2003.572	67	0.00437311
-2002.635	8	0.000522163
-2001.698	45	0.00293717
-2000.761	10	0.000652704
-1999.824	142	0.00926839
-1998.887	34	0.00221919
-1997.95	41	0.00267609
-1997.013	25	0.00163176
-1996.076	67	0.00437311
-1995.139	149	0.00972529
-1994.202	102	0.00665758
-1993.265	172	0.0112265
-1992.328	86	0.00561325
-1991.391	346	0.0225835
-1990.454	98	0.0063965
-1989.517	268	0.0174925
-1988.58	122	0.00796299
-1987.643	102	0.00665758
-1986.706	72	0.00469947
-1985.769	334	0.0218003
-1984.832	62	0.00404676
-1983.895	185	0.012075
-1982.958	143	0.00933366
-1982.021	52	0.00339406
-1981.084	115	0.00750609
-1980.147	199	0.0129888
-1979.21	157	0.0102474
-1978.273	29	0.00189284
-1977.336	171	0.0111612
-1976.399	156	0.0101822
-1975.462	380	0.0248027
-1974.525	65	0.00424257
-1973.588	189	0.0123361
-1972.651	36	0.00234973
-1971.714	264	0.0172314
-1970.777	114	0.00744082
-1969.84	401	0.0261734
-1968.903	210	0.0137068
-1967.966	279	0.0182104
-1967.029	374	0.0244111
-1966.092	407	0.026565
-1965.155	82	0.00535217
-1964.218	76	0.00496055
-1963.281	212	0.0138373
-1962.344	125	0.0081588
-1961.407	219	0.0142942
-1960.47	118	0.0077019
-1959.533	358	0.0233668
-1958.596	67	0.00437311
-1957.659	276	0.0180146
-1956.722	744	0.0485612
-1955.785	325	0.0212129
-1954.848	199	0.0129888
-1953.911	175	0.0114223
-1952.974	524	0.0342017
-1952.037	460	0.0300244
-1951.1	153	0.00998637
-1950.163	127	0.00828934
-1949.226	576	0.0375957
-1948.289	232	0.0151427
-1947.352	355	0.023171
-1946.415	185	0.012075
-1945.478	142	0.00926839
-1944.541	166	0.0108349
-1943.604	44	0.0028719
-1942.667	72	0.00469947
-1941.73	264	0.0172314
-1940.793	112	0.00731028
-1939.856	84	0.00548271
-1938.919	69	0.00450366
-1937.982	114	0.00744082
-1937.045	7	0.000456893
-1936.108	65	0.00424257
-1935.171	167	0.0109002
-1934.234	143	0.00933366
-1933.297	131	0.00855042
-1932.36	195	0.0127277
-1931.423	18	0.00117487
-1930.486	19	0.00124014
-1929.549	64	0.0041773
-1928.612	81	0.0052869
-1927.675	162	0.0105738
-1926.738	61	0.00398149
-1925.801	195	0.0127277
-1924.864	7	0.000456893
-1923.927	138	0.00900731
-1922.99	21	0.00137068
-1922.053	142	0.00926839
-1921.116	20	0.00130541
-1920.179	154	0.0100516
-1919.242	81	0.0052869
-1918.305	3	0.000195811
-1917.368	75	0.00489528
-1916.431	280	0.0182757
-1915.494	35	0.00228446
-1914.557	22	0.00143595
-1913.62	125	0.0081588
-1912.683	260	0.0169703
-1911.746	38	0.00248027
-1910.809	43	0.00280663
-1909.872	42	0.00274136
-1908.935	12	0.000783244
-1907.998	1	6.52704e-05
-1907.061	10	0.000652704
-1906.124	0	0
-1905.187	27	0.0017623
-1904.25	14	0.000913785
-1903.313	22	0.00143595
-1902.376	3	0.000195811
-1901.439	9	0.000587433
-1900.502	0	0
-1899.565	0	0
-1898.628	0	0
-1897.691	11	0.000717974
-1896.754	5	0.000326352
-1895.817	55	0.00358987
-1894.88	24	0.00156649
-1893.943	1	6.52704e-05
-1893.006	0	0
-1892.069	0	0
-1891.132	6	0.000391622
-1890.195	20	0.00130541
-1889.258	3	0.000195811
-1888.321	0	0
-1887.384	1	6.52704e-05
-1886.447	1	6.52704e-05
-1885.51	1	6.52704e-05
-1884.573	0	0
-1883.636	0	0
-1882.699	0	0
-1881.762	0	0
-1880.825	0	0
-1879.888	0	0
-1878.951	1	6.52704e-05
-1878.014	0	0
-1877.077	1	6.52704e-05
-1876.14	0	0
-1875.203	0	0
-1874.266	0	0
-1873.329	0	0
-1872.392	0	0
-1871.455	0	0
-1870.518	1	6.52704e-05
-1869.581	0	0
-1868.644	0	0
-1867.707	1	6.52704e-05
-1866.77	0	0
-1865.833	0	0
-1864.896	5	0.000326352
-1863.959	0	0
-1863.022	0	0
-1862.085	0	0
-1861.148	0	0
-1860.211	0	0
-1859.274	0	0
-1858.337	6	0.000391622
