Filename:  D:\Backup\Documents\FMF\3. Letnik\Fizikalni Praktikum V\Gamma\BG_100_3.mca
Description:  
TimeStamp:  10/14/2021 17:49:03

Calibration Information
Label:  keV
Channel	Value
0	0
644	511
1515	1277
A	B	C
-4.356e-012	0.756934	5.67463e-005

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	11
48	23
49	11
50	17
51	11
52	21
53	18
54	13
55	13
56	21
57	21
58	16
59	16
60	21
61	18
62	21
63	25
64	20
65	24
66	19
67	23
68	27
69	26
70	23
71	24
72	28
73	31
74	25
75	28
76	29
77	30
78	39
79	35
80	40
81	34
82	43
83	39
84	45
85	40
86	40
87	47
88	47
89	49
90	35
91	32
92	47
93	55
94	57
95	57
96	45
97	68
98	50
99	45
100	53
101	55
102	59
103	48
104	43
105	43
106	48
107	57
108	61
109	54
110	54
111	50
112	52
113	52
114	44
115	50
116	53
117	40
118	55
119	42
120	45
121	37
122	53
123	56
124	49
125	39
126	47
127	50
128	42
129	49
130	45
131	44
132	45
133	37
134	39
135	48
136	49
137	38
138	48
139	40
140	47
141	41
142	44
143	41
144	40
145	51
146	34
147	46
148	44
149	33
150	40
151	36
152	43
153	41
154	39
155	43
156	47
157	39
158	37
159	39
160	30
161	37
162	43
163	52
164	46
165	44
166	44
167	30
168	34
169	31
170	45
171	36
172	39
173	39
174	36
175	32
176	30
177	37
178	30
179	35
180	37
181	39
182	31
183	32
184	33
185	25
186	32
187	40
188	34
189	32
190	30
191	41
192	31
193	34
194	40
195	32
196	28
197	26
198	22
199	35
200	22
201	30
202	38
203	35
204	33
205	36
206	20
207	28
208	27
209	26
210	28
211	26
212	26
213	36
214	32
215	26
216	24
217	28
218	35
219	37
220	21
221	22
222	27
223	27
224	29
225	28
226	27
227	24
228	22
229	29
230	20
231	26
232	28
233	25
234	27
235	33
236	20
237	15
238	27
239	26
240	22
241	20
242	17
243	27
244	24
245	26
246	40
247	20
248	27
249	25
250	23
251	9
252	24
253	21
254	17
255	16
256	21
257	20
258	15
259	15
260	26
261	23
262	16
263	14
264	18
265	27
266	18
267	27
268	16
269	13
270	23
271	17
272	22
273	23
274	14
275	23
276	24
277	26
278	19
279	25
280	18
281	26
282	16
283	19
284	27
285	18
286	20
287	14
288	15
289	14
290	18
291	16
292	19
293	15
294	6
295	19
296	23
297	23
298	18
299	10
300	18
301	19
302	19
303	18
304	18
305	11
306	16
307	22
308	23
309	16
310	15
311	17
312	18
313	20
314	13
315	9
316	18
317	13
318	13
319	13
320	18
321	8
322	12
323	10
324	17
325	10
326	15
327	17
328	13
329	11
330	13
331	14
332	12
333	13
334	11
335	10
336	19
337	17
338	17
339	16
340	12
341	13
342	9
343	5
344	12
345	15
346	9
347	15
348	10
349	5
350	16
351	17
352	15
353	9
354	11
355	9
356	12
357	9
358	9
359	13
360	5
361	13
362	6
363	18
364	10
365	14
366	10
367	4
368	9
369	13
370	9
371	6
372	6
373	10
374	9
375	17
376	10
377	8
378	8
379	5
380	20
381	10
382	6
383	10
384	11
385	7
386	9
387	9
388	8
389	7
390	10
391	7
392	12
393	8
394	6
395	8
