Filename:  D:\Backup\Documents\FMF\3. Letnik\Fizikalni Praktikum V\Gamma\Co60_long_1.mca
Description:  
TimeStamp:  10/14/2021 17:22:29

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	1
46	21
47	64
48	86
49	62
50	96
51	95
52	86
53	92
54	66
55	80
56	78
57	94
58	90
59	85
60	84
61	82
62	85
63	79
64	80
65	92
66	87
67	91
68	82
69	98
70	85
71	91
72	92
73	107
74	90
75	123
76	82
77	117
78	97
79	93
80	95
81	87
82	98
83	84
84	109
85	93
86	98
87	94
88	115
89	95
90	99
91	105
92	109
93	108
94	114
95	95
96	104
97	95
98	103
99	97
100	110
101	97
102	110
103	109
104	130
105	71
106	88
107	112
108	83
109	98
110	99
111	90
112	88
113	104
114	99
115	105
116	103
117	118
118	93
119	107
120	88
121	114
122	104
123	97
124	99
125	112
126	113
127	104
128	96
129	89
130	94
131	112
132	112
133	101
134	105
135	111
136	95
137	83
138	106
139	101
140	99
141	90
142	74
143	112
144	103
145	83
146	107
147	94
148	84
149	108
150	103
151	95
152	102
153	100
154	111
155	97
156	115
157	103
158	93
159	104
160	97
161	90
162	113
163	91
164	90
165	93
166	95
167	89
168	93
169	81
170	95
171	86
172	82
173	104
174	97
175	91
176	107
177	110
178	84
179	84
180	107
181	93
182	99
183	109
184	100
185	104
186	81
187	90
188	93
189	101
190	88
191	98
192	77
193	107
194	92
195	100
196	94
197	104
198	87
199	90
200	99
201	88
202	87
203	97
204	97
205	92
206	84
207	109
208	94
209	87
210	93
211	93
212	82
213	94
214	93
215	91
216	89
217	85
218	84
219	80
220	90
221	96
222	86
223	91
224	97
225	93
226	91
227	84
228	97
229	86
230	88
231	80
232	88
233	78
234	83
235	89
236	83
237	79
238	95
239	72
240	90
241	94
242	98
243	87
244	96
245	100
246	98
247	106
248	93
249	84
250	87
251	87
252	86
253	102
254	80
255	88
256	88
257	78
258	75
259	79
260	81
261	95
262	87
263	98
264	86
265	108
266	96
267	97
268	109
269	111
270	90
271	113
272	128
273	96
274	90
275	111
276	104
277	96
278	101
279	91
280	107
281	99
282	101
283	112
284	112
285	106
286	97
287	110
288	105
289	91
290	114
291	90
292	118
293	121
294	116
295	102
296	87
297	123
298	113
299	129
300	107
301	96
302	103
303	113
304	129
305	113
306	105
307	104
308	93
309	125
310	97
311	121
312	102
313	91
314	92
315	96
316	93
317	129
318	83
319	99
320	119
321	98
322	109
323	106
324	109
325	108
326	105
327	113
328	92
329	97
330	98
331	115
332	90
333	107
334	113
335	107
336	98
337	94
338	101
339	111
340	89
341	86
342	105
343	84
344	91
345	98
346	86
347	103
348	102
349	94
350	110
351	104
352	107
353	93
354	110
355	78
356	110
357	94
358	107
359	102
360	96
361	100
362	97
363	106
364	94
365	87
366	103
367	87
368	93
369	93
370	101
371	97
372	103
373	92
374	83
375	98
376	93
377	87
378	89
379	91
380	93
381	102
382	102
383	99
384	77
385	90
386	105
387	88
388	92
389	104
390	84
391	105
392	92
393	111
394	93
395	104
396	93
397	92
398	95
399	86
400	100
401	87
402	84
403	71
404	92
405	95
406	101
407	91
408	103
409	83
410	92
411	79
412	79
413	94
414	95
415	82
416	103
417	83
418	81
419	79
420	86
421	76
422	83
423	81
424	93
425	100
426	92
427	85
428	87
429	76
430	108
431	76
432	76
433	86
434	82
435	89
436	89
437	71
438	99
439	87
440	89
441	62
442	102
443	79
444	66
445	88
446	88
447	95
448	74
449	90
450	74
451	88
452	79
453	83
454	72
455	75
456	85
457	88
458	85
459	98
460	75
461	70
462	82
463	81
464	90
465	83
466	90
467	94
468	72
469	82
470	77
471	84
472	87
473	77
474	78
475	73
476	90
477	95
478	64
479	81
480	84
481	73
482	87
483	87
484	75
485	92
486	65
487	81
488	86
489	79
490	89
491	71
492	89
493	73
494	83
495	61
496	81
497	65
498	89
499	76
500	78
501	72
502	83
503	77
504	79
505	64
506	87
507	74
508	75
