Filename:  D:\Backup\Documents\FMF\3. Letnik\Fizikalni Praktikum V\Gamma\Cs137_long_1.mca
Description:  
TimeStamp:  10/14/2021 17:29:48

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	1
46	25
47	66
48	79
49	67
50	77
51	75
52	70
53	82
54	70
55	67
56	73
57	77
58	79
59	72
60	64
61	68
62	63
63	89
64	74
65	86
66	65
67	82
68	79
69	94
70	72
71	80
72	72
73	69
74	80
75	83
76	79
77	62
78	86
79	88
80	85
81	74
82	73
83	81
84	84
85	89
86	82
87	87
88	72
89	83
90	87
91	64
92	73
93	91
94	92
95	83
96	83
97	65
98	82
99	78
100	92
101	81
102	78
103	88
104	81
105	91
106	77
107	80
108	90
109	88
110	84
111	86
112	77
113	92
114	98
115	90
116	98
117	82
118	82
119	83
120	89
121	82
122	84
123	90
124	79
125	84
126	81
127	86
128	66
129	77
130	79
131	93
132	77
133	82
134	74
135	91
136	82
137	86
138	80
139	71
140	79
141	77
142	83
143	74
144	86
145	91
146	63
147	76
148	63
149	61
150	71
151	86
152	62
153	80
154	75
155	71
156	85
157	75
158	85
159	100
160	71
161	73
162	80
163	74
164	79
165	67
166	80
167	60
168	110
169	70
170	72
171	83
172	82
173	90
174	85
175	71
176	66
177	73
178	81
179	84
180	67
181	74
182	63
183	95
184	69
185	79
186	70
187	69
188	72
189	77
190	77
191	65
192	80
193	77
194	74
195	73
196	81
197	69
198	78
199	66
200	67
201	63
202	67
203	68
204	74
205	91
206	61
207	71
208	71
209	59
210	73
211	68
212	85
213	77
214	67
215	61
216	60
217	73
218	77
219	81
220	71
221	61
222	70
223	61
224	71
225	71
226	82
227	78
228	74
229	75
230	88
231	81
232	73
233	79
234	73
235	77
236	96
237	64
238	78
239	76
240	75
241	85
242	66
243	75
244	85
245	72
246	91
247	74
248	80
249	86
250	88
251	82
252	64
253	64
254	85
255	79
256	85
257	86
258	84
259	66
260	83
261	93
262	92
263	73
264	90
265	76
266	79
267	75
268	87
269	65
270	76
271	69
272	74
273	78
274	84
275	64
276	86
277	96
278	79
279	76
280	77
281	61
282	68
283	96
284	75
285	76
286	87
287	79
288	83
289	82
290	67
291	77
292	86
293	78
294	91
295	68
296	81
297	74
298	70
299	76
300	65
301	77
302	83
303	72
304	71
305	62
306	69
307	61
308	77
309	53
310	72
311	81
312	80
313	64
314	61
315	61
316	61
317	81
318	65
319	64
320	64
321	77
322	65
323	58
324	56
325	56
326	74
327	75
328	56
329	51
330	68
331	62
332	60
333	64
334	61
335	76
336	70
337	45
338	62
339	56
340	61
341	64
342	76
343	68
344	56
345	62
346	60
347	63
348	55
349	60
350	58
351	68
352	62
353	57
354	61
355	64
356	58
357	45
358	59
359	58
360	70
361	67
362	58
363	65
364	54
365	54
366	61
367	68
368	58
369	40
370	51
371	72
372	66
373	70
374	48
375	55
376	47
377	63
378	67
379	67
380	48
381	59
382	60
383	45
384	60
385	54
386	51
387	67
388	66
389	62
390	60
391	63
392	62
393	59
394	56
395	53
396	50
397	68
398	53
399	61
400	44
401	61
402	47
403	65
404	49
405	75
406	60
407	51
408	58
409	71
410	65
411	58
412	59
413	48
414	55
415	72
416	47
417	50
418	45
419	63
420	42
421	58
422	79
423	48
424	64
425	63
426	56
427	50
428	49
429	60
430	47
431	45
432	59
433	60
434	41
435	60
436	61
437	62
438	39
439	47
440	53
441	48
442	63
443	61
444	68
445	48
446	58
447	57
448	59
449	63
450	56
451	60
452	66
453	56
454	56
455	57
456	54
457	47
458	53
459	61
460	52
461	61
462	43
463	62
464	61
465	55
466	57
467	45
468	61
469	57
470	57
471	59
472	56
473	43
474	67
475	61
476	52
477	61
478	46
479	46
480	44
481	46
482	50
483	62
484	55
485	46
486	63
487	46
488	47
489	47
490	51
491	56
492	51
493	50
494	54
495	45
496	56
497	44
498	53
499	52
500	45
501	58
502	55
503	56
504	54
505	45
506	51
507	57
508	53
