T [°C]	I_1 [mA]	I_2 [mA]	U_1 [V]	U_2 [V]	I [A]	U_hall [V]	R_hall
22	9.01	9.03	0.214	0.288	0.00902	0.037	4.101995565
25	8.97	8.98	0.212	0.285	0.008975	0.0365	4.066852368
31	8.86	8.86	0.21	0.28	0.00886	0.035	3.9503386
37	8.81	8.81	0.206	0.269	0.00881	0.0315	3.575482406
40	8.85	8.85	0.204	0.269	0.00885	0.0325	3.672316384
45	9.03	9.03	0.204	0.263	0.00903	0.0295	3.266888151
51	9.4	9.38	0.205	0.261	0.00939	0.028	2.981895634
55	9.9	9.93	0.207	0.258	0.009915	0.0255	2.571860817
61	10.82	10.76	0.212	0.259	0.01079	0.0235	2.177942539
65	11.82	11.96	0.214	0.257	0.01189	0.0215	1.80824222
70	13.1	12.98	0.217	0.257	0.01304	0.02	1.533742331
74	14.44	14.44	0.22	0.257	0.01444	0.0185	1.281163435
